timestamp,event_type,severity,source_ip,username,password_attempted,path,method,user_agent,attempt_number,status_code,message,bytes_sent,response_time_ms,country,flagged
2024-01-15 08:02:05,NORMAL_REQUEST,INFO,10.0.0.34,user_537,,/api/v1/analyze,POST,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1,200,Normal request processed successfully,20303,265,IN,False
2024-01-15 08:02:53,NORMAL_REQUEST,INFO,10.0.0.34,user_923,,/static/js/app.js,PUT,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1,200,Normal request processed successfully,10524,261,IN,False
2024-01-15 08:10:57,NORMAL_REQUEST,INFO,10.0.0.12,user_426,,/api/v1/analyze,POST,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1,200,Normal request processed successfully,7863,57,IN,False
2024-01-15 08:13:54,NORMAL_REQUEST,INFO,192.168.100.5,user_771,,/api/v1/health,PUT,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),1,200,Normal request processed successfully,20372,152,IN,False
2024-01-15 08:25:06,NORMAL_REQUEST,INFO,10.0.0.12,user_164,,/static/js/app.js,POST,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1,200,Normal request processed successfully,43924,180,IN,False
2024-01-15 08:29:14,NORMAL_REQUEST,INFO,10.10.10.45,user_203,,/static/js/app.js,GET,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1,200,Normal request processed successfully,14470,117,IN,False
2024-01-15 08:32:31,NORMAL_REQUEST,INFO,192.168.100.5,user_122,,/api/v1/health,POST,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,1,200,Normal request processed successfully,39444,92,IN,False
2024-01-15 08:32:49,NORMAL_REQUEST,INFO,10.0.0.5,user_390,,/api/v1/users,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,1,200,Normal request processed successfully,46647,158,IN,False
2024-01-15 08:48:45,NORMAL_REQUEST,INFO,192.168.100.15,user_292,,/api/v1/settings,PUT,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),1,200,Normal request processed successfully,14853,228,IN,False
2024-01-15 08:55:52,NORMAL_REQUEST,INFO,10.10.10.45,user_107,,/static/js/app.js,PUT,Mozilla/5.0 (iPad; CPU OS 15_0 like Mac OS X),1,200,Normal request processed successfully,44408,211,IN,False
